dataset,format,bpw,mse,psnr,encode_us,decode_us,encode_std,decode_std
gaussian,Q32,32,0,100,9.1,7.5,0.197605,0.197605
gaussian,QG24,24.5,1.62601e-12,110.683,194.9,67.3,7.82745,2.61206
gaussian,QG_24.5,24.5,1.67604e-12,110.552,99.7,96.2,0.365148,2.55697
gaussian,Q24.5,24.5,1.67604e-12,110.552,53.2,51.5,0.139728,0.160357
gaussian,Q_MX_24.5,24.5,1.35094e-07,61.4882,8093.6,793.2,679.502,179.692
gaussian,QG_MX_24.5,24.5,1.35094e-07,61.4882,8006.9,1331.2,195.067,210.453
gaussian,QG_24_K_H,24,1.67604e-12,110.552,52.3,51.7,0.121499,4.03974
gaussian,QG_24_K_M,24,1.67604e-12,110.552,52,51.2,3.36126,0.190238
gaussian,QG_24_K_L,24,1.67604e-12,110.552,52.4,51.9,4.50185,0.222539
gaussian,Q24,24,1.67604e-12,110.552,51.3,51.2,0.161835,0.182574
gaussian,Q24_K_L,24,1.67604e-12,110.552,51.4,51.2,0.315474,0.121499
gaussian,Q24_K_M,24,1.67604e-12,110.552,66.4,83.7,2.02767,8.03584
gaussian,Q24_K_H,24,1.67604e-12,110.552,96.2,96.4,1.45193,0.718132
gaussian,QG16,16.5,1.04865e-11,102.588,4018.3,112.3,587.139,48.0697
gaussian,Q16.5,16.5,1.08272e-11,102.449,3337.3,84,121.313,0.371612
gaussian,QG_16.5,16.5,1.08272e-11,102.449,3346.3,87.2,348.926,14.4908
gaussian,Q_MX_16.5,16.5,5.64349e-07,55.2791,6890,986.8,697.645,234.631
gaussian,QG_MX_16.5,16.5,1.47609e-06,51.1035,7054.7,934.6,609.875,196.257
gaussian,Q16,16,1.08272e-11,102.449,3535.7,86.6,280.196,4.44999
gaussian,QG_16_K_H,16,1.08272e-11,102.449,3440.3,91.7,568.77,36.7743
gaussian,QG_16_K_M,16,1.08272e-11,102.449,3365.8,88.5,413.193,40.0095
gaussian,QG_16_K_L,16,1.08272e-11,102.449,3780.4,86.2,454.127,48.7164
gaussian,Q16_K_L,16,1.08272e-11,102.449,3570.2,176.6,232.625,171.754
gaussian,Q16_K_M,16,1.08272e-11,102.449,3341.9,84.5,277.707,34.5681
gaussian,Q16_K_H,16,1.08272e-11,102.449,3804.6,86,301.31,52.8653
gaussian,[ref] IEEE FP16,16,4.29045e-10,86.4696,212.1,212.1,0,0
gaussian,QG_MX_12.5,12.5,1.24018e-07,61.8598,7099.5,975.7,675.128,253.641
gaussian,Q12.5,12.5,2.82977e-07,58.2771,16135.5,377,948.703,121.422
gaussian,QG12,12.5,2.82977e-07,58.2771,17004.1,405.4,434.596,124.617
gaussian,QG_12_K_H,12.5,2.82977e-07,58.2771,16124.9,367.2,678.878,290.56
gaussian,QG_12_K_M,12.5,2.82977e-07,58.2771,16704.7,382.9,845.405,156.018
gaussian,QG_12_K_L,12.5,2.82977e-07,58.2771,15721.9,369.2,988.707,130.505
gaussian,QG_12.5,12.5,2.82977e-07,58.2771,15543.1,372.6,362.996,139.851
gaussian,Q_MX_12.5,12.5,3.44842e-06,47.4184,6326.5,869,359.611,209.688
gaussian,Q12,12,3.60769e-07,57.2223,11997.7,393.4,781.574,159.984
gaussian,Q12_K_L,12,3.60769e-07,57.2223,12895.4,411.5,1205.14,181.659
gaussian,Q12_K_M,12,3.60769e-07,57.2223,12808.1,391.2,680.784,104.706
gaussian,Q12_K_H,12,3.60769e-07,57.2223,12621,408.7,944.496,134.319
gaussian,QG_8_K_H,8.5,2.46447e-07,58.8773,34569,156.6,1879.15,5.25357
